QueryNumber;DocNumber;DocVotes
00001;139;1222
00001;151;2211
00001;166;0001
00001;311;0001
00001;370;1010
00001;392;0001
00001;439;0001
00001;440;0011
00001;441;2122
00001;454;0100
00001;461;1121
00001;502;0002
00001;503;1000
00001;505;0001
00001;520;1010
00001;522;0001
00001;526;1011
00001;527;1001
00001;533;2222
00001;593;1000
00001;619;0001
00001;737;0100
00001;742;0100
00001;789;0001
00001;827;0010
00001;835;0001
00001;861;0001
00001;875;1121
00001;891;0001
00001;921;1010
00001;922;1010
00001;1175;0100
00001;1185;0001
00001;1222;0001
00002;169;1000
00002;434;1001
00002;454;0100
00002;498;1000
00002;499;1000
00002;592;0002
00002;875;1011
00003;23;1000
00003;40;0010
00003;139;2122
00003;190;0001
00003;221;0001
00003;246;0001
00003;309;1000
00003;311;0011
00003;325;0001
00003;345;0010
00003;347;0010
00003;356;0010
00003;370;1001
00003;374;0001
00003;375;2221
00003;439;0001
00003;440;1120
00003;454;1220
00003;515;1000
00003;520;0010
00003;524;0010
00003;526;1010
00003;527;1220
00003;533;0001
00003;535;0010
00003;560;0010
00003;561;0001
00003;571;0010
00003;584;0010
00003;604;0002
00003;623;0010
00003;633;2222
00003;733;1000
00003;742;1010
00003;854;0100
00003;856;2112
00003;950;0010
00003;967;0001
00003;1144;1111
00003;1161;0001
00003;1172;1000
00003;1175;0001
00003;1196;0002
00004;503;0001
00004;538;0100
00004;539;0100
00004;540;0100
00004;553;0001
00004;604;2222
00004;669;1010
00004;711;2122
00004;876;2222
00005;23;2220
00005;47;2221
00005;50;0001
00005;60;0001
00005;114;0011
00005;132;0001
00005;135;0001
00005;139;0010
00005;151;2222
00005;169;0001
00005;189;0001
00005;190;0001
00005;197;0001
00005;200;0001
00005;226;0001
00005;256;2211
00005;265;0010
00005;297;0001
00005;298;0001
00005;299;0001
00005;311;0001
00005;312;0001
00005;325;1011
00005;333;0001
00005;343;0002
00005;347;0012
00005;349;0001
00005;369;0001
00005;370;1211
00005;371;0001
00005;374;2222
00005;386;1001
00005;392;0001
00005;410;0001
00005;420;0001
00005;427;0001
00005;428;0001
00005;430;1001
00005;434;0001
00005;437;0001
00005;439;2222
00005;440;0010
00005;441;0001
00005;450;0001
00005;461;2120
00005;465;1002
00005;478;0001
00005;496;2120
00005;497;2121
00005;498;1122
00005;499;2122
00005;500;1012
00005;501;0100
00005;502;0100
00005;503;2221
00005;505;0001
00005;511;1101
00005;513;0010
